source_file_row_position_zero_based,class_local_row_id,global_learned_input_group_hash_u64,reference_input_hash_u64,compact_input_hash_u64,full_feature_hash_u64,Attack_type,true_label,split
0,0,7493862519459320611,9819641526399609589,7493862519459320611,13978763626103314291,MQTT_Publish,0,train
1,1,17217671675376961241,2748438590008033185,17217671675376961241,14776504679561538395,MQTT_Publish,0,train
2,2,7946785448469358551,13540623364179190424,7946785448469358551,8967100318853480512,MQTT_Publish,0,train
3,3,13822649186719812003,6541213540179564704,13822649186719812003,15673181936005769468,MQTT_Publish,0,train
4,4,4133499753941551357,13620392660318958640,4133499753941551357,16975491535663464189,MQTT_Publish,0,train
5,5,4844337645379293802,4943654954020547212,4844337645379293802,11166184040618011004,MQTT_Publish,0,train
6,6,7427529594232757301,12982595117400780588,7427529594232757301,1805281611358626156,MQTT_Publish,0,train
7,7,16937583279813078978,15808766028092189476,16937583279813078978,16713882646761710672,MQTT_Publish,0,calibration
8,8,15608930660003425386,4700401615366276989,15608930660003425386,15297140853712281158,MQTT_Publish,0,test
9,9,4668107580563943935,13066411541031552635,4668107580563943935,9791085472327235969,MQTT_Publish,0,train
10,10,12842886446111091403,6007509864242421365,12842886446111091403,5107493143153641934,MQTT_Publish,0,train
11,11,16750076176551207913,15095298136468297979,16750076176551207913,10523115544603388896,MQTT_Publish,0,train
12,12,9856660168370032848,4357613451913170347,9856660168370032848,13163182956803732523,MQTT_Publish,0,train
13,13,6129056589443382270,8283961190997648935,6129056589443382270,8353972523612779552,MQTT_Publish,0,calibration
14,14,5117224794980294107,1385637754166115114,5117224794980294107,16300682211768281526,MQTT_Publish,0,train
15,15,11343654073867434431,2536931529768418088,11343654073867434431,17275612653962954923,MQTT_Publish,0,train
16,16,3485995148002760859,5155932531833154720,3485995148002760859,18207658230500805879,MQTT_Publish,0,train
17,17,6399866380210634797,17840772044741582819,6399866380210634797,18118901453792015238,MQTT_Publish,0,test
18,18,17512935764520903833,15658405722845115072,17512935764520903833,17299442700199199813,MQTT_Publish,0,train
19,19,14908372891112343177,2248919705723526657,14908372891112343177,3074943016679394250,MQTT_Publish,0,calibration
20,20,12283336004390065632,14013143080140709121,12283336004390065632,11252976028290833191,MQTT_Publish,0,train
21,21,15144368223712995106,3519581892123049395,15144368223712995106,10434627762669504589,MQTT_Publish,0,train
22,22,5061913212296140632,15769003504239233758,5061913212296140632,17200568193450973206,MQTT_Publish,0,train
23,23,13826968254099479942,8746997219617115540,13826968254099479942,2140040231283778240,MQTT_Publish,0,train
24,24,2336100938961112026,11090157216204290283,2336100938961112026,3300708133389670963,MQTT_Publish,0,train
25,25,11477048044384851139,4515838309617677324,11477048044384851139,3590699655516694275,MQTT_Publish,0,train
26,26,13648504425394543393,14871283672391618008,13648504425394543393,9742271831108835751,MQTT_Publish,0,test
27,27,17899871598112235287,592371962736253951,17899871598112235287,11567352012510595244,MQTT_Publish,0,test
28,28,17989880973265978761,13262629116466899039,17989880973265978761,10389763234670827967,MQTT_Publish,0,calibration
29,29,2220161672504562708,5910526401923283428,2220161672504562708,1594994105084926472,MQTT_Publish,0,train
30,30,13511634307564835165,18022378457698140310,13511634307564835165,2720489523963487755,MQTT_Publish,0,calibration
31,31,16912385538389350766,8348961525487819745,16912385538389350766,17963383873394707240,MQTT_Publish,0,calibration
32,32,3083808466583019820,11052740818614794136,3083808466583019820,15154599873686537345,MQTT_Publish,0,train
33,33,129288220652563918,2771706903613986379,129288220652563918,11568380689133500223,MQTT_Publish,0,train
34,34,6194714730383456913,1473466777772478416,6194714730383456913,7384639049975101311,MQTT_Publish,0,train
35,35,7118351173219612373,14433302675071606598,7118351173219612373,10563258452589877780,MQTT_Publish,0,calibration
36,36,10310166416822195751,17097396217372984831,10310166416822195751,13004956736997976584,MQTT_Publish,0,train
37,37,4019143175370981259,9468847760792934298,4019143175370981259,11572181178272743987,MQTT_Publish,0,train
38,38,13687457036267983240,1343749457945324103,13687457036267983240,6971875587062217817,MQTT_Publish,0,train
39,39,18039996139403268079,10864965893603375638,18039996139403268079,10274246696367574749,MQTT_Publish,0,calibration
40,40,6589733213302665523,6052317314099827802,6589733213302665523,15739107401199364660,MQTT_Publish,0,train
41,41,17189548848586824657,807552495861441069,17189548848586824657,5413235449112291055,MQTT_Publish,0,train
42,42,17964735255951065944,16625925380896647628,17964735255951065944,14296610843993721710,MQTT_Publish,0,train
43,43,3061599548421664283,10668735992760153747,3061599548421664283,12022600917527789817,MQTT_Publish,0,test
44,44,9172069629298964917,3926015401044543266,9172069629298964917,670909829408308982,MQTT_Publish,0,train
45,45,17634497154175912187,1847369249327742791,17634497154175912187,3855191089222903424,MQTT_Publish,0,test
46,46,14168789448293207607,4026039942052530909,14168789448293207607,9302382106543092776,MQTT_Publish,0,train
47,47,7324927946419119713,10762431566825910783,7324927946419119713,8234935350999283331,MQTT_Publish,0,train
48,48,2316258282680890814,325134300204882933,2316258282680890814,2625390744070032025,MQTT_Publish,0,train
49,49,2072833419644083829,13401501445909824883,2072833419644083829,5509010897473325332,MQTT_Publish,0,train
50,50,4782372227804167254,6538894684631397976,4782372227804167254,9217017443782008343,MQTT_Publish,0,train
51,51,3823856483347179806,17760463980899157648,3823856483347179806,4828882660228798228,MQTT_Publish,0,train
52,52,8363850586153132032,2513915775448435814,8363850586153132032,9804710340845890976,MQTT_Publish,0,train
53,53,945811172627149623,4371770168217184681,945811172627149623,677007518734352445,MQTT_Publish,0,train
54,54,7567995689620270743,9586873580436894433,7567995689620270743,12176948197689286966,MQTT_Publish,0,train
55,55,394491421279011454,17276108948134280607,394491421279011454,10473771117070619205,MQTT_Publish,0,train
56,56,3787854971634880471,1357518285309570778,3787854971634880471,11892931657285266068,MQTT_Publish,0,calibration
57,57,1900891246079210657,14878860669641097215,1900891246079210657,13814556516996283764,MQTT_Publish,0,train
58,58,10335453396594726151,5572794949700442240,10335453396594726151,3519912101180744822,MQTT_Publish,0,train
59,59,3209320827501155105,5648532471739276028,3209320827501155105,3059498810665195633,MQTT_Publish,0,train
